Found new layout. Num iterations: 11990246, Best results size: 1
Found new layout. Num iterations: 11990254, Best results size: 1
Found new layout. Num iterations: 11990268, Best results size: 2
Found new layout. Num iterations: 11990487, Best results size: 3
Found new layout. Num iterations: 11990494, Best results size: 2
Found new layout. Num iterations: 11990501, Best results size: 2
Found new layout. Num iterations: 11990564, Best results size: 3
Found new layout. Num iterations: 11990571, Best results size: 4
Found new layout. Num iterations: 11990578, Best results size: 5
Found new layout. Num iterations: 11990586, Best results size: 5
Found new layout. Num iterations: 11990593, Best results size: 6
Found new layout. Num iterations: 11990600, Best results size: 7
Found new layout. Num iterations: 11990608, Best results size: 4
Found new layout. Num iterations: 11990615, Best results size: 5
Found new layout. Num iterations: 11990623, Best results size: 4
Found new layout. Num iterations: 11990823, Best results size: 3
Found new layout. Num iterations: 11990830, Best results size: 4
Found new layout. Num iterations: 11990845, Best results size: 4
Found new layout. Num iterations: 11990852, Best results size: 4
Found new layout. Num iterations: 11990937, Best results size: 5
Found new layout. Num iterations: 11990952, Best results size: 5
Found new layout. Num iterations: 11990961, Best results size: 4
Found new layout. Num iterations: 11990968, Best results size: 5
Found new layout. Num iterations: 11990976, Best results size: 6
Found new layout. Num iterations: 11990985, Best results size: 3
Found new layout. Num iterations: 11991099, Best results size: 4
Found new layout. Num iterations: 11991120, Best results size: 5
Found new layout. Num iterations: 11992171, Best results size: 2
Found new layout. Num iterations: 11992178, Best results size: 3
Found new layout. Num iterations: 11992185, Best results size: 4
Found new layout. Num iterations: 11992199, Best results size: 4
Found new layout. Num iterations: 11992219, Best results size: 4
Found new layout. Num iterations: 11992300, Best results size: 1
Found new layout. Num iterations: 11992307, Best results size: 2
Found new layout. Num iterations: 11992314, Best results size: 3
Found new layout. Num iterations: 11992322, Best results size: 4
Found new layout. Num iterations: 11992329, Best results size: 5
Found new layout. Num iterations: 11992346, Best results size: 3
Found new layout. Num iterations: 11992361, Best results size: 4
Found new layout. Num iterations: 11992558, Best results size: 4
Found new layout. Num iterations: 11992581, Best results size: 5
Found new layout. Num iterations: 11992591, Best results size: 6
Found new layout. Num iterations: 11992744, Best results size: 4
Found new layout. Num iterations: 11992751, Best results size: 4
Found new layout. Num iterations: 11992758, Best results size: 5
Found new layout. Num iterations: 11992773, Best results size: 2
Found new layout. Num iterations: 11992780, Best results size: 3
Found new layout. Num iterations: 11992795, Best results size: 4
Found new layout. Num iterations: 11992802, Best results size: 5
Found new layout. Num iterations: 11992985, Best results size: 6
Found new layout. Num iterations: 11992996, Best results size: 7
Found new layout. Num iterations: 11993012, Best results size: 8
